info,source,game_num
"donny34 - 5 x 2, RoB_the_SloB - 6 x 2, doubleyo7 - 5 x 3, donny34 - 5 x 4, liar, RoB_the_SloB accuses donny34 ( 4 x d-5 ) .. there were 3, donny34 - 6 x 2, RoB_the_SloB - 2 x 3, doubleyo7 - 2 x 4, liar, donny34 accuses doubleyo7 ( 4 x d-2 ) .. there were 5, donny34 - 3 x 2, RoB_the_SloB - 4 x 2, doubleyo7 - 2 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-2 ) .. there were 3, donny34 - 4 x 2, RoB_the_SloB - 5 x 2, doubleyo7 - 4 x 4, liar, donny34 accuses doubleyo7 ( 4 x d-4 ) .. there were 3, doubleyo7 - 6 x 2, donny34 - 6 x 3, RoB_the_SloB - 3 x 4, liar, doubleyo7 accuses RoB_the_SloB ( 4 x d-3 ) .. there were 4, doubleyo7 - 3 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-3 ) .. there were 2, doubleyo7 - 5 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-5 ) .. there was 1, doubleyo7 - 4 x 2, donny34 - 4 x 3, liar, RoB_the_SloB accuses donny34 ( 3 x d-4 ) .. there were 3, RoB_the_SloB - 4 x 1, doubleyo7 - 2 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-2 ) .. there were 2, donny34 - 6 x 1, RoB_the_SloB - 6 x 2, liar, doubleyo7 accuses RoB_the_SloB ( 2 x d-6 ) .. there was 1, RoB_the_SloB - 6 x 1, liar, doubleyo7 accuses RoB_the_SloB ( 1 x d-6 ) .. there was 1, donny34 - 6 x 1, RoB_the_SloB - 4 x 2, liar, donny34 accuses RoB_the_SloB ( 2 x d-4 ) .. there were 2",funnode-liars-dice-61490.txt,61490
[Site www.FunNode.com],funnode-liars-dice-61491.txt,61491
[P0 donny34],funnode-liars-dice-61491.txt,61491
[P0-Elo 0.0],funnode-liars-dice-61491.txt,61491
[P1 doubleyo7],funnode-liars-dice-61491.txt,61491
[P1-Elo 0.0],funnode-liars-dice-61491.txt,61491
[P2 RoB_the_SloB],funnode-liars-dice-61491.txt,61491
[P2-Elo 0.0],funnode-liars-dice-61491.txt,61491
[Timer Fischer],funnode-liars-dice-61491.txt,61491
[Timers -1 + 0],funnode-liars-dice-61491.txt,61491
[Re-roll false],funnode-liars-dice-61491.txt,61491
[Spot On false],funnode-liars-dice-61491.txt,61491
[Wild Ones false],funnode-liars-dice-61491.txt,61491
[First to play loser],funnode-liars-dice-61491.txt,61491
[Loser loses 1],funnode-liars-dice-61491.txt,61491
"[Result donny34 wins in 11 rounds. doubleyo7, RoB_the_SloB lose]",funnode-liars-dice-61491.txt,61491
